hood,unique_stops,route_variety,weekly_service,stop_score,route_score,service_score,accessibility_score
Central Business District,69,120,176972,0.7052631578947368,1.0,1.0,0.882
Shadyside,76,43,94352,0.7789473684210526,0.35294117647058826,0.5322743175462235,0.568
Bloomfield,93,21,75178,0.9578947368421052,0.16806722689075632,0.4237270864233874,0.548
Mount Washington,97,29,43362,1.0,0.23529411764705882,0.2436113721538479,0.543
Squirrel Hill North,76,23,97122,0.7789473684210526,0.18487394957983194,0.5479557523125871,0.513
Squirrel Hill South,71,21,71346,0.7263157894736842,0.16806722689075632,0.40203349146862016,0.45
East Liberty,63,27,79590,0.6421052631578947,0.2184873949579832,0.4487041586938554,0.445
Lincoln-Lemington-Belmar,80,13,51930,0.8210526315789474,0.10084033613445378,0.29211625774164696,0.437
North Oakland,41,34,100140,0.4105263157894737,0.2773109243697479,0.5650411566898019,0.403
Greenfield,71,13,47500,0.7263157894736842,0.10084033613445378,0.2670372844510366,0.393
Hazelwood,69,16,33192,0.7052631578947368,0.12605042016806722,0.18603729577337214,0.373
Larimer,52,36,41218,0.5263157894736842,0.29411764705882354,0.23147382842132674,0.371
Brookline,71,11,33034,0.7263157894736842,0.08403361344537816,0.18514283126323297,0.366
Perry South,64,10,37878,0.6526315789473685,0.07563025210084033,0.21256552801711937,0.341
West Oakland,32,25,80606,0.3157894736842105,0.20168067226890757,0.45445590516411727,0.311
South Side Flats,44,12,55062,0.4421052631578947,0.09243697478991597,0.30984703524643065,0.287
Homewood South,44,21,32184,0.4421052631578947,0.16806722689075632,0.18033083864539579,0.281
Brighton Heights,53,7,33240,0.5368421052631579,0.05042016806722689,0.1863090318270853,0.279
Crawford-Roberts,41,14,50126,0.4105263157894737,0.1092436974789916,0.28190351105626066,0.273
Carrick,44,7,42484,0.4421052631578947,0.05042016806722689,0.23864086683801133,0.254
Point Breeze,39,17,30526,0.3894736842105263,0.13445378151260504,0.17094462245672037,0.246
Bluff,23,27,50470,0.22105263157894736,0.2184873949579832,0.2838509527745383,0.236
Allegheny Center,27,23,43952,0.2631578947368421,0.18487394957983194,0.2469514611474055,0.232
Sheraden,43,9,19830,0.43157894736842106,0.06722689075630252,0.11039277182097124,0.224
South Side Slopes,39,5,38356,0.3894736842105263,0.03361344537815126,0.2152715662186796,0.221
Marshall-Shadeland,43,6,23022,0.43157894736842106,0.04201680672268908,0.12846321939289637,0.219
Lower Lawrenceville,35,13,31122,0.3473684210526316,0.10084033613445378,0.17431867845699212,0.218
South Shore,15,38,37634,0.1368421052631579,0.31092436974789917,0.21118420307741081,0.216
East Hills,41,7,18044,0.4105263157894737,0.05042016806722689,0.1002819261557274,0.207
Beltzhoover,39,10,15616,0.3894736842105263,0.07563025210084033,0.08653661077207006,0.204
Perry North,36,6,29774,0.35789473684210527,0.04201680672268908,0.16668742428188085,0.2
Polish Hill,27,23,17158,0.2631578947368421,0.18487394957983194,0.09526613149760532,0.194
East Allegheny,28,16,24784,0.2736842105263158,0.12605042016806722,0.1384381970312836,0.188
South Oakland,17,26,31010,0.15789473684210525,0.21008403361344538,0.17368462766499473,0.18
Morningside,36,3,20592,0.35789473684210527,0.01680672268907563,0.11470658167366764,0.178
Strip District,23,10,42728,0.22105263157894736,0.07563025210084033,0.2400221917777199,0.175
Central Lawrenceville,28,9,24204,0.2736842105263158,0.06722689075630252,0.13515471971558293,0.167
Terrace Village,35,3,15932,0.3473684210526316,0.01680672268907563,0.08832553979234836,0.167
Garfield,33,6,13276,0.3263157894736842,0.04201680672268908,0.07328947815355351,0.164
Central Oakland,9,24,41324,0.07368421052631578,0.19327731092436976,0.23207391220660997,0.155
Homewood North,30,7,13032,0.29473684210526313,0.05042016806722689,0.07190815321384496,0.154
Troy Hill,32,5,9612,0.3157894736842105,0.03361344537815126,0.052546959386782305,0.151
Knoxville,29,7,14410,0.28421052631578947,0.05042016806722689,0.07970924242252692,0.151
Upper Lawrenceville,25,7,22672,0.24210526315789474,0.05042016806722689,0.12648181066790457,0.146
Elliott,21,16,14736,0.2,0.12605042016806722,0.08155478312066212,0.145
Spring Hill-City View,31,2,12942,0.30526315789473685,0.008403361344537815,0.07139864811313278,0.143
Crafton Heights,28,5,12624,0.2736842105263158,0.03361344537815126,0.06959839675728309,0.139
Highland Park,24,7,19890,0.23157894736842105,0.05042016806722689,0.11073244188811268,0.138
Manchester,27,6,12414,0.2631578947368421,0.04201680672268908,0.06840955152228802,0.137
Summer Hill,23,12,9700,0.22105263157894736,0.09243697478991597,0.053045142151923096,0.134
Middle Hill,26,4,17476,0.25263157894736843,0.025210084033613446,0.09706638285345501,0.134
Beechview,27,3,14016,0.2631578947368421,0.01680672268907563,0.07747874231496472,0.131
Homewood West,21,8,15314,0.2,0.058823529411764705,0.08482693810079144,0.122
Lincoln Place,25,5,8952,0.24210526315789474,0.03361344537815126,0.048810588648226357,0.121
Central Northside,16,12,19692,0.14736842105263157,0.09243697478991597,0.1096115306665459,0.119
Chateau,20,10,7574,0.18947368421052632,0.07563025210084033,0.04100949943954439,0.113
Stanton Heights,24,4,8328,0.23157894736842105,0.025210084033613446,0.04527801994995528,0.113
North Shore,8,22,17326,0.06315789473684211,0.17647058823529413,0.09621720768560138,0.111
Friendship,15,12,17094,0.1368421052631579,0.09243697478991597,0.09490381675932111,0.111
Spring Garden,26,2,2304,0.25263157894736843,0.008403361344537815,0.011175145208953702,0.107
Overbrook,15,13,10452,0.1368421052631579,0.10084033613445378,0.0573023403267626,0.104
Allentown,19,8,8608,0.17894736842105263,0.058823529411764705,0.04686314692994871,0.104
Point Breeze North,15,10,15540,0.1368421052631579,0.07563025210084033,0.08610636202035755,0.103
Upper Hill,22,2,9440,0.21052631578947367,0.008403361344537815,0.051573238527643485,0.1
Northview Heights,22,2,8994,0.21052631578947367,0.008403361344537815,0.04904835769522537,0.099
California-Kirkbride,16,7,13152,0.14736842105263157,0.05042016806722689,0.07258749334812785,0.095
Westwood,21,2,6736,0.2,0.008403361344537815,0.03626544083513547,0.092
Windgap,19,2,6986,0.17894736842105263,0.008403361344537815,0.03768073278155818,0.084
Glen Hazel,17,3,9630,0.15789473684210525,0.01680672268907563,0.05264886040692474,0.082
West End,13,7,6580,0.11578947368421053,0.05042016806722689,0.035382298660567704,0.073
Bon Air,13,4,4612,0.11578947368421053,0.025210084033613446,0.024241120458328144,0.061
Esplen,9,6,10284,0.07368421052631578,0.04201680672268908,0.056351264138766545,0.058
Regent Square,10,5,7040,0.08421052631578947,0.03361344537815126,0.03798643584198549,0.055
Oakwood,9,7,4372,0.07368421052631578,0.05042016806722689,0.022882440189762345,0.053
Banksville,13,1,3016,0.11578947368421053,0.0,0.015205896672365576,0.05
Allegheny West,11,3,3096,0.09473684210526316,0.01680672268907563,0.01565879009522084,0.048
Duquesne Heights,12,1,3948,0.10526315789473684,0.0,0.02048210504862943,0.047
Bedford Dwellings,11,1,3960,0.09473684210526316,0.0,0.020550039062057723,0.043
Fineview,10,1,3000,0.08421052631578947,0.0,0.015115317987794523,0.037
Mt. Oliver,10,1,2590,0.08421052631578947,0.0,0.012794239195661281,0.037
Fairywood,9,1,3294,0.07368421052631578,0.0,0.01677970131678763,0.034
Arlington-Arlington Heights,8,1,3984,0.06315789473684211,0.0,0.020685907088914303,0.03
Hays,7,1,2212,0.05263157894736842,0.0,0.010654317772670147,0.024
Chartiers City,6,1,2196,0.042105263157894736,0.0,0.010563739088099093,0.019
East Carnegie,4,1,1344,0.021052631578947368,0.0,0.005740424134690504,0.01
Swisshelm Park,3,3,330,0.010526315789473684,0.01680672268907563,0.0,0.01
New Homestead,4,1,1264,0.021052631578947368,0.0,0.005287530711835237,0.01
St. Clair,3,1,512,0.010526315789473684,0.0,0.0010303325369957314,0.004
Ridgemont,2,1,352,0.0,0.0,0.00012454569128519832,0.0
